,partial_subkey,count,bias
0,00,4976,0.0024
1,01,4982,0.0018
2,02,5050,0.005
3,03,5045,0.0045
4,04,4957,0.0043
5,05,5015,0.0015
6,06,5073,0.0073
7,07,5030,0.003
8,08,5039,0.0039
9,09,4996,0.0004
10,0A,4916,0.0084
11,0B,4974,0.0026
12,0C,4990,0.001
13,0D,4985,0.0015
14,0E,4983,0.0017
15,0F,4989,0.0011
16,10,5034,0.0034
17,11,4986,0.0014
18,12,4992,0.0008
19,13,4991,0.0009
20,14,5023,0.0023
21,15,4969,0.0031
22,16,4969,0.0031
23,17,4936,0.0064
24,18,4971,0.0029
25,19,4938,0.0062
26,1A,5124,0.0124
27,1B,5070,0.007
28,1C,5002,0.0002
29,1D,5001,0.0001
30,1E,5021,0.0021
31,1F,4973,0.0027
32,20,5076,0.0076
33,21,5046,0.0046
34,22,4928,0.0072
35,23,4949,0.0051
36,24,5045,0.0045
37,25,5003,0.0003
38,26,4975,0.0025
39,27,4970,0.003
40,28,5009,0.0009
41,29,5004,0.0004
42,2A,5018,0.0018
43,2B,4976,0.0024
44,2C,4976,0.0024
45,2D,4997,0.0003
46,2E,5029,0.0029
47,2F,4999,0.0001
48,30,5053,0.0053
49,31,4983,0.0017
50,32,5025,0.0025
51,33,5004,0.0004
52,34,5068,0.0068
53,35,5010,0.001
54,36,4912,0.0088
55,37,4947,0.0053
56,38,5002,0.0002
57,39,5037,0.0037
58,3A,5041,0.0041
59,3B,4983,0.0017
60,3C,5025,0.0025
61,3D,5004,0.0004
62,3E,4988,0.0012
63,3F,4918,0.0082
64,40,5021,0.0021
65,41,4997,0.0003
66,42,5075,0.0075
67,43,4976,0.0024
68,44,4892,0.0108
69,45,4920,0.008
70,46,5072,0.0072
71,47,5097,0.0097
72,48,5068,0.0068
73,49,5093,0.0093
74,4A,4915,0.0085
75,4B,4943,0.0057
76,4C,5029,0.0029
77,4D,4930,0.007
78,4E,4998,0.0002
79,4F,4974,0.0026
80,50,5058,0.0058
81,51,5018,0.0018
82,52,4926,0.0074
83,53,4937,0.0063
84,54,4973,0.0027
85,55,4943,0.0057
86,56,5041,0.0041
87,57,5032,0.0032
88,58,5031,0.0031
89,59,5022,0.0022
90,5A,4994,0.0006
91,5B,4964,0.0036
92,5C,5028,0.0028
93,5D,5039,0.0039
94,5E,5017,0.0017
95,5F,4977,0.0023
96,60,4986,0.0014
97,61,5020,0.002
98,62,4954,0.0046
99,63,5015,0.0015
100,64,5027,0.0027
101,65,5083,0.0083
102,66,4971,0.0029
103,67,4988,0.0012
104,68,4923,0.0077
105,69,4940,0.006
106,6A,5006,0.0006
107,6B,5062,0.0062
108,6C,4970,0.003
109,6D,5031,0.0031
110,6E,4995,0.0005
111,6F,5029,0.0029
112,70,5034,0.0034
113,71,5058,0.0058
114,72,4996,0.0004
115,73,4975,0.0025
116,74,5047,0.0047
117,75,5049,0.0049
118,76,4947,0.0053
119,77,4966,0.0034
120,78,4957,0.0043
121,79,4976,0.0024
122,7A,5028,0.0028
123,7B,5030,0.003
124,7C,4990,0.001
125,7D,4969,0.0031
126,7E,4977,0.0023
127,7F,5001,0.0001
128,80,4915,0.0085
129,81,4997,0.0003
130,82,5033,0.0033
131,83,5084,0.0084
132,84,4988,0.0012
133,85,5058,0.0058
134,86,5000,0.0
135,87,4943,0.0057
136,88,4978,0.0022
137,89,4921,0.0079
138,8A,5021,0.0021
139,8B,5091,0.0091
140,8C,4965,0.0035
141,8D,5016,0.0016
142,8E,4954,0.0046
143,8F,5036,0.0036
144,90,4963,0.0037
145,91,5035,0.0035
146,92,5075,0.0075
147,93,5044,0.0044
148,94,5008,0.0008
149,95,5024,0.0024
150,96,4976,0.0024
151,97,4921,0.0079
152,98,5012,0.0012
153,99,4957,0.0043
154,9A,5043,0.0043
155,9B,5059,0.0059
156,9C,4985,0.0015
157,9D,4954,0.0046
158,9E,4936,0.0064
159,9F,5008,0.0008
160,A0,4993,0.0007
161,A1,4927,0.0073
162,A2,5045,0.0045
163,A3,5004,0.0004
164,A4,4992,0.0008
165,A5,4950,0.005
166,A6,5012,0.0012
167,A7,5059,0.0059
168,A8,5034,0.0034
169,A9,5081,0.0081
170,AA,4957,0.0043
171,AB,4915,0.0085
172,AC,5017,0.0017
173,AD,4976,0.0024
174,AE,5052,0.0052
175,AF,4986,0.0014
176,B0,5030,0.003
177,B1,4948,0.0052
178,B2,4896,0.0104
179,B3,4965,0.0035
180,B4,5073,0.0073
181,B5,4973,0.0027
182,B6,4981,0.0019
183,B7,4994,0.0006
184,B8,4997,0.0003
185,B9,5010,0.001
186,BA,5036,0.0036
187,BB,4936,0.0064
188,BC,5016,0.0016
189,BD,5085,0.0085
190,BE,5071,0.0071
191,BF,4989,0.0011
192,C0,4972,0.0028
193,C1,5048,0.0048
194,C2,4980,0.002
195,C3,4925,0.0075
196,C4,5021,0.0021
197,C5,4979,0.0021
198,C6,5057,0.0057
199,C7,5026,0.0026
200,C8,4975,0.0025
201,C9,4944,0.0056
202,CA,5020,0.002
203,CB,4978,0.0022
204,CC,5042,0.0042
205,CD,4987,0.0013
206,CE,4985,0.0015
207,CF,5061,0.0061
208,D0,4949,0.0051
209,D1,4985,0.0015
210,D2,5077,0.0077
211,D3,4980,0.002
212,D4,5044,0.0044
213,D5,4986,0.0014
214,D6,4994,0.0006
215,D7,5003,0.0003
216,D8,4968,0.0032
217,D9,4977,0.0023
218,DA,5043,0.0043
219,DB,4985,0.0015
220,DC,5091,0.0091
221,DD,4994,0.0006
222,DE,4944,0.0056
223,DF,4980,0.002
224,E0,4941,0.0059
225,E1,4983,0.0017
226,E2,5003,0.0003
227,E3,5080,0.008
228,E4,4888,0.0112
229,E5,5042,0.0042
230,E6,5062,0.0062
231,E7,5091,0.0091
232,E8,5052,0.0052
233,E9,5081,0.0081
234,EA,4815,0.0185
235,EB,4969,0.0031
236,EC,4931,0.0069
237,ED,5008,0.0008
238,EE,5006,0.0006
239,EF,5048,0.0048
240,F0,4999,0.0001
241,F1,4987,0.0013
242,F2,4945,0.0055
243,F3,5026,0.0026
244,F4,4954,0.0046
245,F5,4996,0.0004
246,F6,4958,0.0042
247,F7,4997,0.0003
248,F8,4984,0.0016
249,F9,5023,0.0023
250,FA,5023,0.0023
251,FB,5065,0.0065
252,FC,4943,0.0057
253,FD,5024,0.0024
254,FE,5044,0.0044
255,FF,5032,0.0032
